timestamp,2025-08-12 10-46-53_gps_lat,2025-08-12 10-46-53_gps_lon,2025-08-12 10-46-53_gps_alt,2025-08-12 10-46-53_imu_ax,2025-08-12 10-46-53_imu_ay,2025-08-12 10-46-53_imu_az,2025-08-12 10-46-53_imu_gx,2025-08-12 10-46-53_imu_gy,2025-08-12 10-46-53_imu_gz,2025-08-12 10-46-53_velocity_x,2025-08-12 10-46-53_velocity_y,2025-08-12 10-46-53_velocity_z,2025-08-12 10-46-53_hdop,2025-08-12 10-46-53_vdop,2025-08-12 10-46-53_fix_type,2025-08-12 10-46-53_gps_lat,2025-08-12 10-46-53_gps_lon,2025-08-12 10-46-53_gps_alt,2025-08-12 10-46-53_imu_ax,2025-08-12 10-46-53_imu_ay,2025-08-12 10-46-53_imu_az,2025-08-12 10-46-53_imu_gx,2025-08-12 10-46-53_imu_gy,2025-08-12 10-46-53_imu_gz,2025-08-12 10-46-53_velocity_x,2025-08-12 10-46-53_velocity_y,2025-08-12 10-46-53_velocity_z,2025-08-12 10-46-53_hdop,2025-08-12 10-46-53_vdop,2025-08-12 10-46-53_fix_type
1754975813.7425148,15.3669521,75.1254622,644.45,-0.45126,0.51012,-9.760950000000001,-0.006,-0.018,-0.001,0.02,0.01,0.0,0.57,0.99,3.0,2.278752452310313e-38,1.1008316595468122e-39,-4.537714686376788e-22,-9.627152756983245e-35,2.2620183573605908e-14,-3.755518559370975e-14,,,,,,,,,
1754975813.8091815,15.36695135,75.125461675,642.62,-0.45126,0.51012,-9.760807826086957,-0.006,-0.018,-0.0009855072463768116,0.0725,0.010422535211267606,0.0008450704225352113,0.57,0.99,3.0,2.1732975821001522e-38,1.1005468079010765e-39,-9.075429372753576e-22,-9.624653496142907e-35,2.2614311251805904e-14,-6.800359196523468e-14,,,,,,,,,
1754975813.8758483,15.366951117910448,75.12546151791045,642.1165671641791,-0.45126,0.51012,-9.760239130434783,-0.006,-0.018,-0.000927536231884058,0.041950253807008266,0.010985915492957746,0.0019718309859154933,0.57,0.99,3.0,2.0678427118899917e-38,1.100261956255341e-39,-1.3613144059130365e-21,-9.622154235302568e-35,2.2608438930005903e-14,-9.845199833675961e-14,,,,,,,,,
1754975813.942515,15.366951129850746,75.12546152985075,642.1876119402986,-0.45126,0.51012,-9.759954782608697,-0.006,-0.018,-0.0008985507246376812,0.026271419102946916,0.011267605633802818,0.0025352112676056337,0.57,0.99,3.0,1.9623878416798312e-38,1.0999771046096053e-39,-1.8150858745507153e-21,-9.61965497446223e-35,2.2602566608205903e-14,-1.2890040470828455e-13,,,,,,,,,
1754975814.0091815,15.366951135820896,75.12546153582089,642.2231343283582,-0.45126,0.51012,-9.759812608695654,-0.006,-0.018,-0.0008840579710144927,0.026609166463216146,0.011408450704225352,0.0028169014084507044,0.57,0.99,3.0,1.8569329714696707e-38,1.0996922529638698e-39,-2.268857343188394e-21,-9.617155713621891e-35,2.25966942864059e-14,-1.593488110798095e-13,,,,,,,,,
1754975814.075848,15.366951141791045,75.12546154179104,642.2586567164179,-0.45126,0.51012,-9.75967043478261,-0.006,-0.018,-0.0008695652173913044,0.026946913823485373,0.011549295774647889,0.003098591549295775,0.57,0.99,3.0,1.75147810125951e-38,1.0994074013181341e-39,-2.722628811826073e-21,-9.614656452781554e-35,2.25908219646059e-14,-1.897972174513344e-13,,,,,,,,,
1754975814.142515,15.366951147761194,75.12546154776119,642.2941791044776,-0.45126,0.51012,-9.759528260869565,-0.006,-0.018,-0.0008550724637681159,0.027284661183754604,0.011690140845070423,0.0033802816901408453,0.57,0.99,3.0,1.6460232310493495e-38,1.0991225496723986e-39,-3.176400280463752e-21,-9.612157191941215e-35,2.2584949642805898e-14,-2.2024562382285933e-13,,,,,,,,,
1754975814.2091815,15.366951153731343,75.12546155373134,642.3297014925373,-0.45126,0.51012,-9.759386086956523,-0.006,-0.018,-0.0008405797101449276,0.02762240854402383,0.011830985915492958,0.0036619718309859155,0.57,0.99,3.0,1.540568360839189e-38,1.0988376980266629e-39,-3.6301717491014305e-21,-9.609657931100877e-35,2.2579077321005894e-14,-2.5069403019438427e-13,,,,,,,,,
1754975814.2758482,15.366951159701493,75.12546155970149,642.365223880597,-0.45126,0.51012,-9.759243913043479,-0.006,-0.018,-0.0008260869565217392,0.02796015590429306,0.011971830985915494,0.0039436619718309866,0.57,0.99,3.0,1.4351134906290283e-38,1.0985528463809274e-39,-4.08394321773911e-21,-9.607158670260538e-35,2.2573204999205894e-14,-2.811424365659092e-13,,,,,,,,,
1754975814.3425148,15.366951165671642,75.12546156567164,642.4007462686567,-0.45126,0.51012,-9.759101739130436,-0.006,-0.018,-0.0008115942028985507,0.028297903264562288,0.012112676056338029,0.004225352112676057,0.57,0.99,3.0,1.3296586204188678e-38,1.0982679947351917e-39,-4.537714686376788e-21,-9.6046594094202e-35,2.2567332677405893e-14,-3.1159084293743416e-13,,,,,,,,,
1754975814.4091816,15.36695117164179,75.1254615716418,642.4362686567164,-0.45126,0.51012,-9.758959565217392,-0.006,-0.018,-0.0007971014492753623,0.02863565062483152,0.012253521126760564,0.004507042253521127,0.57,0.99,3.0,1.2242037502087073e-38,1.0979831430894562e-39,-4.991486155014467e-21,-9.602160148579862e-35,2.2561460355605893e-14,-3.4203924930895905e-13,,,,,,,,,
1754975814.4758482,15.36695117761194,75.12546157761194,642.4717910447761,-0.45126,0.51012,-9.75881739130435,-0.006,-0.018,-0.000782608695652174,0.028973397985100745,0.012394366197183098,0.004788732394366197,0.57,0.99,3.0,1.1187488799985466e-38,1.0976982914437205e-39,-5.445257623652146e-21,-9.599660887739523e-35,2.255558803380589e-14,-3.72487655680484e-13,,,,,,,,,
1754975814.5425148,15.36695118358209,75.1254615835821,642.5073134328358,-0.45126,0.51012,-9.758675217391305,-0.006,-0.018,-0.0007681159420289855,0.029311145345369976,0.012535211267605633,0.0050704225352112674,0.57,0.99,3.0,1.0132940097883861e-38,1.097413439797985e-39,-5.8990290922898245e-21,-9.597161626899185e-35,2.254971571200589e-14,-4.0293606205200894e-13,,,,,,,,,
1754975814.6091814,15.366951189552239,75.12546158955224,642.5428358208956,-0.45126,0.51012,-9.758533043478263,-0.006,-0.018,-0.0007536231884057972,0.029648892705639203,0.01267605633802817,0.0053521126760563385,0.57,0.99,3.0,9.078391395782256e-39,1.0971285881522493e-39,-6.352800560927504e-21,-9.594662366058847e-35,2.2543843390205888e-14,-4.3338446842353384e-13,,,,,,,,,
1754975814.6758482,15.366951195522388,75.1254615955224,642.5783582089553,-0.45126,0.51012,-9.758390869565218,-0.006,-0.018,-0.0007391304347826087,0.029986640065908433,0.012816901408450704,0.005633802816901409,0.57,0.99,3.0,8.023842693680648e-39,1.0968437365065137e-39,-6.806572029565182e-21,-9.592163105218508e-35,2.2537971068405884e-14,-4.638328747950588e-13,,,,,,,,,
1754975814.7425148,15.366951201492537,75.12546160149253,642.6138805970149,-0.45126,0.51012,-9.758248695652176,-0.006,-0.018,-0.0007246376811594203,0.03032438742617766,0.012957746478873239,0.005915492957746479,0.57,0.99,3.0,6.969293991579044e-39,1.096558884860778e-39,-7.260343498202861e-21,-9.58966384437817e-35,2.2532098746605884e-14,-4.942812811665837e-13,,,,,,,,,
1754975814.8091815,15.366951207462687,75.12546160746268,642.6494029850746,-0.45126,0.51012,-9.758106521739132,-0.006,-0.018,-0.0007101449275362319,0.030662134786446887,0.013098591549295775,0.00619718309859155,0.57,0.99,3.0,5.914745289477439e-39,1.0962740332150425e-39,-7.71411496684054e-21,-9.587164583537831e-35,2.2526226424805883e-14,-5.247296875381086e-13,,,,,,,,,
1754975814.8758483,15.366951219402985,75.12546161940298,642.720447761194,-0.45126,0.51012,-9.757822173913045,-0.006,-0.018,-0.0006811594202898551,0.030770717935326198,0.013380281690140845,0.0067605633802816905,0.57,0.99,3.0,4.8601965873758314e-39,1.095989181569307e-39,-8.16788643547822e-21,-9.584665322697494e-35,2.252035410300588e-14,-5.551780939096336e-13,,,,,,,,,
1754975814.942515,15.366951225373134,75.12546162537313,642.7559701492537,-0.45126,0.51012,-9.75768,-0.006,-0.018,-0.0006666666666666666,0.030541553723936278,0.013521126760563381,0.007042253521126761,0.57,0.99,3.0,3.8056478852742266e-39,1.0957043299235713e-39,-8.621657904115897e-21,-9.582166061857155e-35,2.251448178120588e-14,-5.856265002811585e-13,,,,,,,,,
1754975815.0091815,15.366951231343284,75.12546163134328,642.7914925373134,-0.45126,0.51012,-9.757537826086958,-0.006,-0.018,-0.0006521739130434783,0.03031238951254636,0.013661971830985916,0.007323943661971831,0.57,0.99,3.0,2.7510991831726217e-39,1.0954194782778358e-39,-9.075429372753576e-21,-9.579666801016817e-35,2.250860945940588e-14,-6.160749066526835e-13,,,,,,,,,
1754975815.075848,15.366951237313433,75.12546163731344,642.8270149253731,-0.45126,0.51012,-9.757395652173914,-0.006,-0.018,-0.0006376811594202899,0.03008322530115644,0.01380281690140845,0.007605633802816902,0.57,0.99,3.0,1.6965504810710143e-39,1.0951346266321001e-39,-9.529200841391255e-21,-9.577167540176478e-35,2.2502737137605875e-14,-6.465233130242084e-13,,,,,,,,,
