Time_s,GPS_NSats,GPS_HDop,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,GPS_GCrs,GPA_HAcc,GPA_VAcc,GPA_SAcc,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,BARO_Alt,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ,VIBE_Clip,ATT_Roll,ATT_Pitch,ATT_Yaw
00:49.7,0,100,0,0,0,0,0,0,0,0,0.01095784,-0.02423782,0.001812112,-0.1185055,-0.1382589,-9.758249,0.01184082,0.009829336,0.008267019,0.009291545,0,0.2287008,-1.187658,120.2138
00:49.8,0,100,0,0,0,0,0,0,0,0,0.01095784,-0.02423782,0.001812112,-0.1185055,-0.1382589,-9.758249,0.041821296,0.009646153,0.008499087,0.009353476,0,0.2303472,-1.1881846,120.21488
00:49.8,0,100,0,0,0,0,0,0,0,0,0.010302243,-0.02333486,0.002331465,-0.11865675,-0.139424,-9.7590405,0.071801772,0.00946297,0.008731156,0.009415407,0,0.2319936,-1.1887112,120.21596
00:49.8,0,100,0,0,0,0,0,0,0,0,0.009646647,-0.0224319,0.002850817,-0.118808,-0.1405891,-9.759832,0.101782248,0.009279786,0.008963224,0.009477339,0,0.23364,-1.1892378,120.21704
00:49.8,0,100,0,0,0,0,0,0,0,0,0.010089344,-0.02193034,0.002509964,-0.1145891,-0.1399355,-9.7587345,0.131762724,0.009096603,0.009195293,0.00953927,0,0.2352864,-1.1897644,120.21812
00:49.8,0,100,0,0,0,0,0,0,0,0,0.01053204,-0.02142878,0.002169112,-0.1103702,-0.1392819,-9.757637,0.1617432,0.00891342,0.009427361,0.009601201,0,0.2369328,-1.190291,120.2192
00:49.9,0,100,0,0,0,0,0,0,0,0,0.010111708,-0.02217398,0.002371412,-0.1136303,-0.1392138,-9.7564405,0.130566435,0.008895505,0.009421614,0.009606842,0,0.23839774,-1.193641,120.2191
00:49.9,0,100,0,0,0,0,0,0,0,0,0.009691376,-0.02291918,0.002573711,-0.1168904,-0.1391457,-9.755244,0.09938967,0.00887759,0.009415867,0.009612483,0,0.23986268,-1.196991,120.219
00:49.9,0,100,0,0,0,0,0,0,0,0,0.009774048,-0.02329109,0.002482552,-0.11941575,-0.1410357,-9.758704,0.068212905,0.008859676,0.00941012,0.009618125,0,0.24132762,-1.200341,120.2189
00:49.9,0,100,0,0,0,0,0,0,0,0,0.00985672,-0.023663,0.002391392,-0.1219411,-0.1429257,-9.762164,0.03703614,0.008841761,0.009404373,0.009623766,0,0.24279256,-1.203691,120.2188
