Time_s,GPS_NSats,GPS_HDop,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,GPS_GCrs,GPA_HAcc,GPA_VAcc,GPA_SAcc,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,BARO_Alt,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ,VIBE_Clip,ATT_Roll,ATT_Pitch,ATT_Yaw
00:45.9,0,100,0,0,0,0,0,0,0,0,0.008571671,-0.0108665,-0.004981246,0.04707927,0.03319564,-9.78931,-0.2414254,0.009300875,0.0125572,0.01028881,0,-0.06,-0.16,211.94
00:46.0,0,100,0,0,0,0,0,0,0,0,0.007974767,-0.01004698,-0.004160359,0.04375174,0.03762237,-9.7893555,-0.2414254,0.00935276,0.012183292,0.010350256,0,-0.06,-0.16,211.94
00:46.0,0,100,0,0,0,0,0,0,0,0,0.007377863,-0.00922746,-0.003339472,0.04042421,0.0420491,-9.789401,-0.2414254,0.009404644,0.011809384,0.010411702,0,-0.06,-0.16,211.94
00:46.0,0,100,0,0,0,0,0,0,0,0,0.007503636,-0.009987055,-0.000687426,0.042068005,0.044069245,-9.7878195,-0.2414254,0.009456529,0.011435476,0.010473148,0,-0.06,-0.16,211.94
00:46.0,0,100,0,0,0,0,0,0,0,0,0.007629409,-0.01074665,0.001964619,0.0437118,0.04608939,-9.786238,-0.2414254,0.009508413,0.011061568,0.010534594,0,-0.06,-0.16,211.94
00:46.0,0,100,0,0,0,0,0,0,0,0,0.007933677,-0.010732985,0.003996487,0.04577942,0.04593697,-9.787435,-0.2414254,0.009560298,0.01068766,0.01059604,0,-0.06,-0.16,211.94
00:46.1,0,100,0,0,0,0,0,0,0,0,0.008237945,-0.01071932,0.006028354,0.04784704,0.04578455,-9.788632,-0.2414254,0.009578502,0.010619836,0.010577512,0,-0.06,-0.16,211.944
00:46.1,0,100,0,0,0,0,0,0,0,0,0.008141404,-0.01083018,0.006109476,0.043969695,0.042574115,-9.787904,-0.2414254,0.009596706,0.010552012,0.010558984,0,-0.06,-0.16,211.948
00:46.1,0,100,0,0,0,0,0,0,0,0,0.008044863,-0.01094104,0.006190598,0.04009235,0.03936368,-9.787176,-0.2414254,0.009614909,0.010484188,0.010540456,0,-0.06,-0.16,211.952
00:46.1,0,100,0,0,0,0,0,0,0,0,0.008281505,-0.011192345,0.004577456,0.04380079,0.0367909,-9.7880565,-0.2414254,0.009633113,0.010416364,0.010521928,0,-0.06,-0.16,211.956
00:46.1,0,100,0,0,0,0,0,0,0,0,0.008518147,-0.01144365,0.002964314,0.04750923,0.03421812,-9.788937,-0.2414254,0.009651317,0.01034854,0.0105034,0,-0.06,-0.16,211.96
00:46.2,0,100,0,0,0,0,0,0,0,0,0.004479876,-0.006338946,-0.00016136,0.04668724,0.03497257,-9.791651,-0.211106862,0.009436965,0.010068592,0.010670066,0,-0.06,-0.16,211.956
00:46.2,0,100,0,0,0,0,0,0,0,0,0.000441606,-0.001234242,-0.003287034,0.04586525,0.03572702,-9.794365,-0.180788324,0.009222613,0.009788645,0.010836732,0,-0.06,-0.16,211.952
00:46.2,0,100,0,0,0,0,0,0,0,0,0.004559321,-0.005597907,-0.003301876,0.046650465,0.038076675,-9.7910165,-0.150469786,0.009008262,0.009508697,0.011003398,0,-0.06,-0.16,211.948
