Time_s,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,BARO_Alt,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ,VIBE_Clip,ATT_Roll,ATT_Pitch,ATT_Yaw
1970-01-01 00:47:22.720,0.001736656,-0.001911951,0.0009014763,0.01556474,-0.006424317,-9.806606,2.5711866,0.0103168692,0.0093649302,0.026038948,0.0,-0.22,0.10400000000000001,58.66
1970-01-01 00:47:22.740,-0.0003102754999999998,-0.00016691899999999996,0.0006177017,0.0150934,0.0102870215,-9.802359,2.5790598,0.0105355496,0.0094655596,0.026116564000000002,0.0,-0.22,0.10200000000000001,58.66
1970-01-01 00:47:22.760,-0.002357207,0.001578113,0.0003339271,0.01462206,0.02699836,-9.798112,2.586933,0.01075423,0.009566189,0.02619418,0.0,-0.22,0.1,58.66
1970-01-01 00:47:22.780,-0.0005275955,-5.801799999999996e-05,0.00055183105,0.015181835,0.009292597,-9.8029185,2.5576894,0.01074764,0.0097999192,0.025928526,0.0,-0.218,0.1,58.66
1970-01-01 00:47:22.800,0.001302016,-0.001694149,0.000769735,0.01574161,-0.008413166,-9.807725,2.5284458,0.01074105,0.0100336494,0.025662872,0.0,-0.216,0.1,58.66
1970-01-01 00:47:22.820,0.0013740125000000001,-0.00295457,0.0007542296499999999,0.015417105,-0.00631774,-9.806968999999999,2.4992022,0.01073446,0.0102673796,0.025397218000000003,0.0,-0.214,0.1,58.66
1970-01-01 00:47:22.840,0.001446009,-0.004214991,0.0007387243,0.0150926,-0.004222314,-9.806213,2.4699586,0.01072787,0.0105011098,0.025131564000000002,0.0,-0.212,0.1,58.66
1970-01-01 00:47:22.860,0.0014417244999999999,-0.003905326,0.0006201494499999999,0.01624947,-0.005548475,-9.806733999999999,2.440715,0.01072128,0.01073484,0.02486591,0.0,-0.21,0.1,58.66
1970-01-01 00:47:22.880,0.00143744,-0.003595661,0.0005015746,0.01740634,-0.006874636,-9.807255,2.4547746,0.020134716,0.02207806,0.03522194,0.2,-0.21,0.1,58.657999999999994
1970-01-01 00:47:22.900,0.00041041644999999997,-0.00042027449999999973,0.00031838944999999997,0.0158167,0.017912202,-9.805664499999999,2.4688342,0.029548152,0.03342128,0.045577969999999995,0.4,-0.21,0.1,58.656
1970-01-01 00:47:22.920,-0.0006166071,0.002755112,0.0001352043,0.01422706,0.04269904,-9.804074,2.4828938000000003,0.038961588000000005,0.0447645,0.055934,0.6000000000000001,-0.21,0.1,58.653999999999996
1970-01-01 00:47:22.940,0.00050149995,-0.0003290874999999998,5.658799999999994e-06,0.01552247,0.016331355,-9.8075925,2.4969534,0.048375024,0.05610772,0.06629003,0.8,-0.21,0.1,58.652
1970-01-01 00:47:22.960,0.001619607,-0.003413287,-0.0001238867,0.01681788,-0.01003633,-9.811111,2.511013,0.05778846,0.06745094,0.07664606,1.0,-0.21,0.1,58.65
1970-01-01 00:47:22.980,0.001123364,-0.003469535,0.00021371735000000005,0.016925775,-0.008786266,-9.8118205,2.5183238,0.048299594,0.055979546000000005,0.066926614,0.8,-0.212,0.1,58.65
1970-01-01 00:47:23.000,0.000627121,-0.003525783,0.0005513214,0.01703367,-0.007536202,-9.81253,2.5256346,0.038810728,0.044508152,0.057207168,0.6,-0.214,0.1,58.65
1970-01-01 00:47:23.020,0.0011985189999999999,-0.0033421835,0.00072301845,0.015872515,-0.006630752,-9.811227500000001,2.5329454,0.029321861999999997,0.033036758,0.047487721999999996,0.3999999999999999,-0.216,0.1,58.65
1970-01-01 00:47:23.040,0.001769917,-0.003158584,0.0008947155,0.01471136,-0.005725302,-9.809925,2.5402562,0.019832996,0.021565364000000004,0.037768275999999996,0.19999999999999996,-0.218,0.1,58.65
1970-01-01 00:47:23.060,0.001514095,-0.0027911159999999997,0.00073159555,0.0154373,-0.0073374525,-9.811314,2.547567,0.01034413,0.01009397,0.02804883,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.080,0.001258273,-0.002423648,0.0005684756,0.01616324,-0.008949603,-9.812703,2.5486918,0.010404698,0.010091258,0.027847832,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.100,0.0010028475,-0.0024461495,0.00037976555,0.01770759,-0.009124955,-9.812721,2.5498165999999998,0.010465266,0.010088546,0.027646834,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.120,0.000747422,-0.002468651,0.0001910555,0.01925194,-0.009300307,-9.812739,2.5509414,0.010525834,0.010085834,0.027445836,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.140,0.0008259186499999999,-0.0033278229999999997,-0.00020478275000000002,0.01864255,-0.009302858,-9.812613500000001,2.5520662,0.010586402,0.010083122,0.027244838,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.160,0.0009044153,-0.004186995,-0.000600621,0.01803316,-0.009305409,-9.812488,2.553191,0.01064697,0.01008041,0.02704384,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.180,0.0015980241499999998,-0.004318937,-0.00030297520549999997,0.01602574,-0.0100389145,-9.811643,2.5728742,0.010781124,0.01020828,0.026895788,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.200,0.002291633,-0.004450879,-5.329411e-06,0.01401832,-0.01077242,-9.810798,2.5925574,0.010915278,0.01033615,0.026747736,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.220,0.0019060905,-0.0038799859999999998,3.09718295e-05,0.01515141,-0.009941464,-9.810748499999999,2.6122406,0.011049432,0.01046402,0.026599684,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.240,0.001520548,-0.003309093,6.727307e-05,0.0162845,-0.009110508,-9.810699,2.6319238,0.011183586,0.01059189,0.026451632,0.0,-0.22,0.1,58.65
1970-01-01 00:47:23.260,-0.000778843,-0.00204596335,-0.00018457661499999997,0.020764195,0.010028426,-9.8066615,2.651607,0.01131774,0.01071976,0.02630358,0.0,-0.22,0.1,58.65
