Time_s,GPS_NSats,GPS_HDop,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,GPS_GCrs,GPA_HAcc,GPA_VAcc,GPA_SAcc,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,BARO_Alt,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ,VIBE_Clip,ATT_Roll,ATT_Pitch,ATT_Yaw
00:42.8,0,100,0,0,0,0,0,0,0,0,0.004222747,-0.01044969,0.001422615,-0.2662027,0.2844198,-9.722325,-0.01130288,0.008342466,0.009455549,0.008952687,0,-1.58,-1.77,137.89
00:42.8,0,100,0,0,0,0,0,0,0,0,0.004222747,-0.01044969,0.001422615,-0.2662027,0.2844198,-9.722325,-0.01130288,0.008399199,0.009389408,0.009082381,0,-1.58,-1.77,137.89
00:42.8,0,100,0,0,0,0,0,0,0,0,0.004296274,-0.010123338,0.001494677,-0.26588275,0.28710925,-9.7215415,-0.01130288,0.008455933,0.009323266,0.009212074,0,-1.58,-1.77,137.89
00:42.8,0,100,0,0,0,0,0,0,0,0,0.004369801,-0.009796986,0.001566739,-0.2655628,0.2897987,-9.720758,-0.01130288,0.008512666,0.009257125,0.009341768,0,-1.58,-1.77,137.89
00:42.9,0,100,0,0,0,0,0,0,0,0,0.003923326,-0.010352063,0.001221382,-0.2656652,0.2860818,-9.7192375,-0.01130288,0.0085694,0.009190983,0.009471461,0,-1.58,-1.77,137.89
00:42.9,0,100,0,0,0,0,0,0,0,0,0.003476851,-0.01090714,0.000876024,-0.2657676,0.2823649,-9.717717,-0.01130288,0.008626133,0.009124842,0.009601155,0,-1.58,-1.77,137.89
00:42.9,0,100,0,0,0,0,0,0,0,0,0.003340665,-0.010575545,0.001020303,-0.2652075,0.2838901,-9.7202045,-0.013563456,0.00861041,0.009289232,0.009558748,0,-1.58,-1.77,137.89
00:42.9,0,100,0,0,0,0,0,0,0,0,0.003204478,-0.01024395,0.001164582,-0.2646474,0.2854153,-9.722692,-0.015824032,0.008594687,0.009453621,0.00951634,0,-1.58,-1.77,137.89
00:42.9,0,100,0,0,0,0,0,0,0,0,0.003508808,-0.010785825,0.000801171,-0.26614065,0.28446115,-9.7212315,-0.018084608,0.008578964,0.009618011,0.009473933,0,-1.58,-1.77,137.89
00:43.0,0,100,0,0,0,0,0,0,0,0,0.003813138,-0.0113277,0.000437761,-0.2676339,0.283507,-9.719771,-0.020345184,0.008563241,0.0097824,0.009431525,0,-1.58,-1.77,137.89
00:43.0,0,100,0,0,0,0,0,0,0,0,0.000904002,-0.007713186,0.000653239,-0.2706715,0.2681174,-9.7684255,-0.02260576,0.008547518,0.00994679,0.009389118,0,-1.58,-1.77,137.89
00:43.0,0,100,0,0,0,0,0,0,0,0,-0.002005134,-0.004098671,0.000868717,-0.2737091,0.2527278,-9.81708,-0.015258888,0.00849232,0.009756344,0.009330973,0,-1.58,-1.772,137.89
00:43.0,0,100,0,0,0,0,0,0,0,0,0.001292897,-0.007502966,0.00121619,-0.27040635,0.26884465,-9.768809,-0.007912016,0.008437122,0.009565899,0.009272828,0,-1.58,-1.774,137.89
00:43.0,0,100,0,0,0,0,0,0,0,0,0.004590928,-0.01090726,0.001563662,-0.2671036,0.2849615,-9.720538,-0.000565144,0.008381925,0.009375453,0.009214683,0,-1.58,-1.776,137.89
00:43.1,0,100,0,0,0,0,0,0,0,0,0.004020201,-0.010286627,0.001811934,-0.2675313,0.2857228,-9.7196505,0.006781728,0.008326727,0.009185008,0.009156538,0,-1.58,-1.778,137.89
00:43.1,0,100,0,0,0,0,0,0,0,0,0.003449474,-0.009665994,0.002060205,-0.267959,0.2864841,-9.718763,0.0141286,0.008271529,0.008994562,0.009098393,0,-1.58,-1.78,137.89
00:43.1,0,100,0,0,0,0,0,0,0,0,0.003684579,-0.009515777,0.001461324,-0.2669111,0.28385095,-9.7183105,-0.004521148,0.018303495,0.019592242,0.022679996,0,-1.578,-1.78,137.89
00:43.1,0,100,0,0,0,0,0,0,0,0,0.003919684,-0.00936556,0.000862444,-0.2658632,0.2812178,-9.717858,-0.023170896,0.028335461,0.030189921,0.0362616,0,-1.576,-1.78,137.89
